mcs_down,mcs_down_var,mcs_up,mcs_up_var,rb_down_var,rb_up_var,rnti_count,rb_down,rb_up,down,up
15.3322981454492,87.15768837702974,14.981496960486323,49.98948412698413,4.4976976147873475e-08,3.143297486772487e-08,10229.0,0.0296811666666666,0.0005406666666666,174876888.0,1856888.0
15.116845640448696,87.19216817421469,16.4326124945391,62.49467016164264,4.6155349890615116e-08,4.4396397817460314e-08,12223.0,0.0359714166666666,0.0008523333333333,209054184.0,2866200.0
15.21573915815136,87.22795521584536,15.885238095238096,63.087006802721085,4.646103690757475e-08,2.9935954365079376e-08,11152.0,0.0327498333333333,0.0006073333333333,191464640.0,1935360.0
15.135399916063156,86.19950120688374,15.714660077867624,77.18745882000599,4.5321529821617875e-08,5.382562896825397e-08,14040.0,0.0413718333333333,0.0009254166666666,241515688.0,2991152.0
15.18894380446886,86.15111909425433,15.414080086580086,69.11856060606061,4.6555426053488575e-08,5.9221777777777784e-08,15247.0,0.0450738333333333,0.00102075,264131088.0,3288816.0
15.329625745541325,87.16637554492281,16.129249311294764,73.75906434474616,4.6490739061148985e-08,4.272734550865801e-08,14032.0,0.0409814166666666,0.0008820833333333,240364288.0,2857792.0
15.011034459034564,88.63394666259191,14.133555555555557,57.31601587301588,4.6230733472450384e-08,3.2920061838624335e-08,12261.0,0.0358289166666666,0.0006528333333333,209567808.0,1892888.0
15.0901509029203,86.31189427559823,15.414675122385404,65.58465732087228,4.636574941269703e-08,4.1819500992063496e-08,13744.0,0.0403420833333333,0.00071625,235478872.0,2317632.0
15.094138301493077,87.38631141581101,15.378388577653284,63.93788126361656,4.6064594351549966e-08,3.441218088624338e-08,12271.0,0.0361066666666666,0.0007578333333333,211470032.0,2305304.0
15.146158895537717,86.9582235869834,14.84233193277311,56.13314270152505,4.711435054790142e-08,3.6680870039682535e-08,12303.0,0.03607775,0.0006973333333333,209997304.0,2193936.0
15.225310502951134,86.27367375040504,15.49243827160494,58.43805114638448,4.5625753974037417e-08,3.6667319444444447e-08,12238.0,0.03586525,0.00076775,209190704.0,2551856.0
15.19744020978711,87.4375181416266,13.977253968253969,58.1728253968254,4.6341203723837524e-08,4.1009884920634926e-08,12020.0,0.03523,0.0006696666666666,205107305.0,2012688.0
15.16094248851162,88.41348465366026,15.346758078231291,75.96241786487323,4.689734313271003e-08,4.247606652837903e-08,14098.0,0.0421541666666666,0.0010080833333333,244770936.0,3320616.0
15.181099643243186,86.91684337356152,14.037872023809523,64.50515873015873,4.5163923872691294e-08,3.5689867063492066e-08,10168.0,0.0292650833333333,0.0005975833333333,171757376.0,1748160.0
15.095089427975106,87.50691744272814,15.36464579659024,60.214902998236326,4.523084976837704e-08,4.625784424603176e-08,13703.0,0.0402060833333333,0.000859,235021312.0,2729104.0
15.198282955542412,87.46495524761353,15.091726366062648,69.32881022615535,4.6118669460482535e-08,4.5362848544973546e-08,14609.0,0.04322875,0.0009860833333333,251096992.0,2861272.0
15.259219641326386,86.02278439573162,15.442752446828534,59.15745694522869,4.6306763672214386e-08,3.44663373015873e-08,11212.0,0.0328598333333333,0.0005803333333333,193052808.0,1911160.0
15.05255609805582,87.16807459652354,15.832967032967032,64.72967032967033,4.524049691684297e-08,2.8028044642857143e-08,10330.0,0.0294744166666666,0.00050875,174618656.0,1601736.0
15.151777149603832,87.56464709385318,13.895361552028218,51.603112874779534,4.5564844512326814e-08,2.9107511904761903e-08,10360.0,0.0297343333333333,0.0005055,174561272.0,1944424.0
15.245858268960944,86.14137600125692,15.536940836940836,61.45660063841882,4.626470053068162e-08,3.5279490139490145e-08,11733.0,0.0343103333333333,0.0006605833333333,201788352.0,2265520.0
15.168582870027628,87.57225814038138,13.754313725490196,41.87980392156863,4.3751137082732355e-08,1.8164902777777776e-08,10251.0,0.0286743333333333,0.00041725,169560256.0,1299224.0
15.29412250622804,86.16232236051123,14.14909951159951,49.95529609279609,4.499549470307929e-08,2.425102083333333e-08,10192.0,0.0292755833333333,0.0004434166666666,173236776.0,1248000.0
15.198980227243885,87.24783488840676,15.204636544011544,36.52414592352092,4.685234610554551e-08,1.7351147607022606e-08,9241.0,0.0266485,0.0003745833333333,156096136.0,1136536.0
15.19179755145717,88.63323952407902,16.385668816137564,55.92621941137566,4.6289612351636737e-08,3.4112727513227525e-08,11464.0,0.033343,0.0006569166666666,196270432.0,1891872.0
